work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP18074/2024-2025/138719,KALI CHARAN MUNDA,Jharkhand,Monitor,MP + District Authority,90.6,695.0,proactive
WS/MP18069/2024-2025/150884,RAJEEV BHARDWAJ,Himachal Pradesh,Monitor,MP + District Authority,90.5,633.0,proactive
WS/MP18155/2024-2025/141698,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,90.5,697.0,proactive
WS/MP18176/2024-2025/140258,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,90.1,702.0,proactive
WS/MP381/2024-2025/153038,Shri Gurjeet Singh Aujla,Punjab,Monitor,MP + District Authority,90.0,643.0,proactive
WS/MP18032/2024-2025/136950,SUDHAKAR SINGH,Bihar,Monitor,MP + District Authority,89.7,593.0,proactive
WS/MP18144/2024-2025/148137,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,89.6,596.0,proactive
WS/MP18144/2024-2025/148133,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,89.6,596.0,proactive
WS/MP18138/2024-2025/143320,RICHARD VANLALHMANGAIHA,Mizoram,Monitor,MP + District Authority,89.5,586.0,proactive
WS/MP641/2024-2025/133910,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,89.4,667.0,proactive
WS/MP18109/2024-2025/150121,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,89.3,662.0,proactive
WS/MP641/2024-2025/133909,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,89.3,670.0,proactive
WS/MP435/2024-2025/146460,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,89.2,600.0,proactive
WS/MP598/2024-2025/151551,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,89.1,652.0,proactive
WS/MP18069/2025-2026/150889,RAJEEV BHARDWAJ,Himachal Pradesh,Monitor,MP + District Authority,89.0,633.0,proactive
WS/MP18032/2024-2025/143624,SUDHAKAR SINGH,Bihar,Monitor,MP + District Authority,89.0,564.0,proactive
WS/MP641/2025-2026/147403,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,88.9,356.0,proactive
WS/MP18144/2024-2025/141595,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,88.9,642.0,proactive
WS/MP641/2024-2025/133929,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,88.5,514.0,proactive
WS/MP18186/2025-2026/149102,Sasikanth Senthil,Tamil Nadu,Monitor,MP + District Authority,88.3,669.0,proactive
WS/MP18109/2024-2025/146903,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,88.2,572.0,proactive
WS/MP18144/2024-2025/141586,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,88.2,642.0,proactive
WS/MP641/2024-2025/147352,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,88.2,607.0,proactive
WS/MP18109/2024-2025/146899,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,88.2,572.0,proactive
WS/MP18109/2024-2025/146904,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,88.2,572.0,proactive
WS/MP435/2024-2025/146549,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,88.1,605.0,proactive
WS/MP18019/2025-2026/143869,AMARSING TISSO,Assam,Monitor,MP + District Authority,88.0,506.0,proactive
WS/MP18109/2024-2025/146895,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,87.8,572.0,proactive
WS/MP18109/2024-2025/146896,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,87.8,572.0,proactive
WS/MP435/2024-2025/145997,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,87.7,600.0,proactive
WS/MP641/2025-2026/147408,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,87.6,330.0,proactive
WS/MP641/2024-2025/147362,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,87.6,551.0,proactive
WS/MP18155/2024-2025/141567,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,87.5,697.0,proactive
WS/MP598/2025-2026/151541,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,87.5,652.0,proactive
,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,87.5,633.0,proactive
WS/MP641/2024-2025/133913,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,87.4,514.0,proactive
WS/MP18019/2025-2026/143868,AMARSING TISSO,Assam,Monitor,MP + District Authority,87.4,506.0,proactive
WS/MP18176/2024-2025/139959,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,87.1,698.0,proactive
WS/MP18176/2024-2025/140224,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,86.7,702.0,proactive
WS/MP422/2025-2026/141663,Dileshwar Kamait,Bihar,Monitor,MP + District Authority,86.7,347.0,proactive
WS/MP18176/2024-2025/139742,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,86.6,706.0,proactive
,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.6,639.0,proactive
WS/MP598/2024-2025/155310,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,86.4,634.0,proactive
WS/MP761/2026-2027/139054,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.3,40.0,proactive
WS/MP761/2026-2027/153904,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.2,639.0,proactive
WS/MP761/2025-2026/153958,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.2,639.0,proactive
WS/MP761/2026-2027/139030,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.1,6.0,proactive
,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,86.0,682.0,proactive
WS/MP18176/2024-2025/139958,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,86.0,702.0,proactive
WS/MP18112/2024-2025/136982,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,85.9,678.0,proactive
WS/MP18112/2024-2025/136975,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,85.9,678.0,proactive
WS/MP641/2025-2026/137257,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,85.8,443.0,proactive
WS/MP18019/2024-2025/154338,AMARSING TISSO,Assam,Monitor,MP + District Authority,85.5,638.0,proactive
,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,85.5,748.0,proactive
WS/MP761/2026-2027/139031,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,85.4,9.0,proactive
WS/MP18094/2025-2026/151735,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,85.3,592.0,proactive
,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,85.3,748.0,proactive
WS/MP552/2024-2025/146419,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,85.2,577.0,proactive
WS/MP552/2024-2025/146418,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,85.1,577.0,proactive
WS/MP18094/2026-2027/151546,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,85.1,592.0,proactive
WS/MP18186/2025-2026/149096,Sasikanth Senthil,Tamil Nadu,Monitor,MP + District Authority,84.9,669.0,proactive
WS/MP18094/2025-2026/151736,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,84.9,592.0,proactive
WS/MP598/2025-2026/151548,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,84.8,652.0,proactive
WS/MP18112/2024-2025/136983,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,84.7,618.0,proactive
WS/MP761/2025-2026/146633,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,84.3,249.0,proactive
WS/MP761/2025-2026/146645,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,84.3,249.0,proactive
WS/MP18176/2024-2025/139719,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,84.2,529.0,proactive
WS/MP18155/2024-2025/141574,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,84.1,648.0,proactive
WS/MP18112/2024-2025/143947,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,83.9,678.0,proactive
WS/MP761/2025-2026/153917,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,83.5,639.0,proactive
WS/MP18155/2024-2025/141721,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,83.5,633.0,proactive
WS/MP18024/2025-2026/149798,GAURAV GOGOI,Assam,Monitor,MP + District Authority,83.4,663.0,proactive
WS/MP598/2025-2026/155304,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,82.8,634.0,proactive
WS/MP18155/2024-2025/141775,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,82.7,699.0,proactive
WS/MP598/2025-2026/151553,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,82.7,652.0,proactive
WS/MP18112/2024-2025/136967,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,82.7,678.0,proactive
WS/MP18252/2025-2026/151042,ADHIKARI SOUMENDU,West Bengal,Monitor,MP + District Authority,82.6,655.0,proactive
WS/MP18155/2024-2025/141714,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,82.2,699.0,proactive
WS/MP18155/2024-2025/141706,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,82.2,699.0,proactive
WS/MP18176/2024-2025/140272,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,82.1,529.0,proactive
WS/MP18155/2024-2025/141566,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,82.0,699.0,proactive
WS/MP18112/2024-2025/136984,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,82.0,678.0,proactive
WS/MP598/2024-2025/147189,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,82.0,610.0,proactive
,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,81.9,592.0,proactive
,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,81.7,592.0,proactive
,Sasikanth Senthil,Tamil Nadu,Monitor,MP + District Authority,81.4,669.0,proactive
WS/MP013/2024-2025/143927,Indra Hang Subba,Sikkim,Monitor,MP + District Authority,81.1,535.0,proactive
WS/MP18112/2024-2025/145333,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,80.9,618.0,proactive
WS/MP18205/2024-2025/148367,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148351,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148349,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148366,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148346,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148364,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148345,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148374,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148372,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148373,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148371,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148356,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148354,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148362,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148350,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148369,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148361,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148338,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148340,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148360,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP598/2024-2025/155311,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,80.8,634.0,proactive
WS/MP18205/2024-2025/148357,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148358,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148359,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148339,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148352,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148353,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148344,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148348,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148717,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP598/2025-2026/151547,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,80.8,652.0,proactive
WS/MP18205/2024-2025/148716,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148715,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148368,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18112/2024-2025/136532,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,80.8,618.0,proactive
WS/MP18205/2024-2025/148718,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148719,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148342,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148343,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148714,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148341,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148712,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148713,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148370,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.8,521.0,proactive
WS/MP18205/2024-2025/148363,SANATAN PANDEY,Uttar Pradesh,Monitor,MP + District Authority,80.7,521.0,proactive
WS/MP598/2024-2025/146970,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,80.6,556.0,proactive
WS/MP18069/2024-2025/150910,RAJEEV BHARDWAJ,Himachal Pradesh,Monitor,MP + District Authority,80.5,633.0,proactive
WS/MP18112/2024-2025/136716,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,80.5,579.0,proactive
WS/MP598/2024-2025/145391,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,80.5,570.0,proactive
WS/MP18069/2024-2025/150891,RAJEEV BHARDWAJ,Himachal Pradesh,Monitor,MP + District Authority,80.1,633.0,proactive
WS/MP18186/2025-2026/141740,Sasikanth Senthil,Tamil Nadu,Monitor,MP + District Authority,79.7,474.0,proactive
WS/MP598/2024-2025/145392,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,79.6,594.0,proactive
WS/MP18252/2025-2026/151047,ADHIKARI SOUMENDU,West Bengal,Monitor,MP + District Authority,79.2,655.0,proactive
WS/MP18252/2025-2026/151046,ADHIKARI SOUMENDU,West Bengal,Monitor,MP + District Authority,79.1,655.0,proactive
WS/MP598/2024-2025/145388,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,79.0,554.0,proactive
WS/MP598/2025-2026/155309,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.8,634.0,proactive
WS/MP18032/2025-2026/137005,SUDHAKAR SINGH,Bihar,Monitor,MP + District Authority,78.8,353.0,proactive
WS/MP18234/2024-2025/154081,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,78.8,639.0,proactive
WS/MP386/2024-2025/145064,Shri Hanuman Beniwal,Rajasthan,Monitor,MP + District Authority,78.7,622.0,proactive
WS/MP386/2024-2025/145063,Shri Hanuman Beniwal,Rajasthan,Monitor,MP + District Authority,78.7,622.0,proactive
WS/MP598/2024-2025/151552,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.6,652.0,proactive
WS/MP598/2025-2026/145402,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.5,333.0,proactive
WS/MP598/2025-2026/145401,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.5,333.0,proactive
WS/MP598/2025-2026/145400,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.5,333.0,proactive
WS/MP18094/2025-2026/151575,VISHWESHWAR HEGDE KAGERI,Karnataka,Monitor,MP + District Authority,78.5,592.0,proactive
WS/MP18043/2024-2025/140523,MANOJ KUMAR,Bihar,Monitor,MP + District Authority,78.5,614.0,proactive
WS/MP598/2024-2025/146118,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,78.4,556.0,proactive
WS/MP18043/2024-2025/140417,MANOJ KUMAR,Bihar,Monitor,MP + District Authority,78.4,605.0,proactive
WS/MP18043/2024-2025/140424,MANOJ KUMAR,Bihar,Monitor,MP + District Authority,78.1,622.0,proactive
WS/MP18032/2025-2026/134031,SUDHAKAR SINGH,Bihar,Monitor,MP + District Authority,77.8,274.0,proactive
WS/MP18112/2024-2025/145331,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,77.6,513.0,proactive
WS/MP18109/2025-2026/150116,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,77.6,662.0,proactive
WS/MP18100/2024-2025/151650,BUNTY VIVEK SAHU,Madhya Pradesh,Monitor,MP + District Authority,77.4,651.0,proactive
WS/MP18188/2025-2026/154695,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,77.1,636.0,proactive
WS/MP18188/2025-2026/154699,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,77.1,636.0,proactive
WS/MP341/2025-2026/152196,Shri LS Tejasvi Surya,Karnataka,Monitor,MP + District Authority,76.8,649.0,proactive
WS/MP18234/2024-2025/154107,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.7,639.0,proactive
WS/MP18112/2025-2026/144100,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,76.7,465.0,proactive
WS/MP18234/2024-2025/154124,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.7,639.0,proactive
WS/MP18234/2024-2025/154104,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.7,639.0,proactive
WS/MP18234/2024-2025/154109,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154091,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154128,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154117,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154061,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154063,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154064,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154130,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154103,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154099,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154110,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154092,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154113,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154066,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.6,639.0,proactive
WS/MP18234/2024-2025/154114,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.5,639.0,proactive
WS/MP18234/2024-2025/154127,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.5,639.0,proactive
WS/MP18234/2024-2025/154062,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.5,639.0,proactive
WS/MP18234/2024-2025/154096,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.5,639.0,proactive
WS/MP18188/2025-2026/155204,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,76.4,635.0,proactive
WS/MP18234/2024-2025/154116,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18234/2024-2025/154119,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18234/2024-2025/154129,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18188/2025-2026/154694,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,76.4,636.0,proactive
WS/MP18188/2025-2026/149968,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,76.4,663.0,proactive
WS/MP18234/2024-2025/154086,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18188/2025-2026/149967,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,76.4,663.0,proactive
WS/MP18234/2024-2025/154082,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18234/2024-2025/154068,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18234/2024-2025/154106,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18234/2024-2025/154095,DR. S P SINGH,Uttar Pradesh,Monitor,MP + District Authority,76.4,639.0,proactive
WS/MP18186/2025-2026/141737,Sasikanth Senthil,Tamil Nadu,Monitor,MP + District Authority,75.8,482.0,proactive
WS/MP18144/2024-2025/148128,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,75.8,622.0,proactive
WS/MP386/2024-2025/145034,Shri Hanuman Beniwal,Rajasthan,Monitor,MP + District Authority,75.6,627.0,proactive
WS/MP18024/2025-2026/148522,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.6,446.0,proactive
WS/MP18024/2025-2026/148307,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,374.0,proactive
WS/MP18024/2025-2026/148305,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148527,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,446.0,proactive
WS/MP18024/2025-2026/148298,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148299,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148302,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148295,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148303,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,464.0,proactive
WS/MP18024/2025-2026/148521,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,446.0,proactive
WS/MP18024/2025-2026/148523,GAURAV GOGOI,Assam,Monitor,MP + District Authority,75.5,446.0,proactive
WS/MP18172/2025-2026/144452,MANNA LAL RAWAT,Rajasthan,Monitor,MP + District Authority,75.3,401.0,proactive
WS/MP18043/2024-2025/140457,MANOJ KUMAR,Bihar,Monitor,MP + District Authority,75.2,540.0,proactive
WS/MP18199/2024-2025/145093,LALJI VERMA,Uttar Pradesh,Monitor,MP + District Authority,75.0,556.0,proactive
WS/MP18112/2024-2025/136991,BALWANT BASWANT WANKHADE,Maharashtra,Monitor,MP + District Authority,74.9,530.0,proactive
WS/MP18188/2025-2026/149992,KONDA VISHWESHWAR REDDY,Telangana,Monitor,MP + District Authority,74.8,663.0,proactive
WS/MP416/2025-2026/148841,Ashok Kumar Yadav,Bihar,Monitor,MP + District Authority,74.6,241.0,proactive
WS/MP416/2025-2026/148842,Ashok Kumar Yadav,Bihar,Monitor,MP + District Authority,74.6,241.0,proactive
WS/MP386/2024-2025/142497,Shri Hanuman Beniwal,Rajasthan,Monitor,MP + District Authority,74.1,622.0,proactive
WS/MP18024/2025-2026/148304,GAURAV GOGOI,Assam,Monitor,MP + District Authority,74.1,464.0,proactive
WS/MP18024/2025-2026/148300,GAURAV GOGOI,Assam,Monitor,MP + District Authority,74.1,374.0,proactive
WS/MP18024/2025-2026/148525,GAURAV GOGOI,Assam,Monitor,MP + District Authority,74.1,446.0,proactive
WS/MP18024/2025-2026/148519,GAURAV GOGOI,Assam,Monitor,MP + District Authority,74.1,446.0,proactive
WS/MP386/2024-2025/142495,Shri Hanuman Beniwal,Rajasthan,Monitor,MP + District Authority,74.1,622.0,proactive
