work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP18238/2025-2026/153079,RAMASHANKAR RAJBHAR,Uttar Pradesh,Monitor,MP + District Authority,70.2,643.0,proactive
WS/MP334/2024-2025/136601,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136558,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/144887,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,613.0,proactive
WS/MP334/2024-2025/136602,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136581,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136590,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136570,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136574,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136585,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136617,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136586,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136614,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136573,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136568,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP334/2024-2025/136571,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
WS/MP405/2024-2025/140141,Balashowry Vallabbhaneni,Andhra Pradesh,Monitor,MP + District Authority,70.0,580.0,proactive
WS/MP334/2024-2025/136569,Shri Chandra Prakash Choudhary,Jharkhand,Monitor,MP + District Authority,70.0,592.0,proactive
