Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
4920,Normal/Others,WS/MP761/2024-2025/144938-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of community hall,01-Oct-2024,399115,08-Oct-2024,WS/MP761/2024-2025/144938,Construction of community centers and community halls,399115.0,2024-10-01,2024-10-08,399115.0,Physical Inspection,7.0,True,399551.0,211326.7430146695,state+category,-0.0020631558210771955,1,399115.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,15.8,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4921,Normal/Others,WS/MP761/2024-2025/144939-Construction of boundary walls of existing public and community buildings,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Compound wall to existing Community hall in Kurma wada,01-Oct-2024,250000,09-Oct-2024,WS/MP761/2024-2025/144939,Construction of boundary walls of existing public and community buildings,250000.0,2024-10-01,2024-10-09,250000.0,Physical Inspection,8.0,True,400000.0,236227.0563175324,state+category,-0.6349823019356959,1,250000.0,True,1,0.0,8.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,30.6,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4922,Normal/Others,WS/MP761/2024-2025/144940-Construction of boundary walls of existing public and community buildings,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Compound wall to existing community hall in Mudiraj wada,01-Oct-2024,300000,07-Oct-2024,WS/MP761/2024-2025/144940,Construction of boundary walls of existing public and community buildings,300000.0,2024-10-01,2024-10-07,300000.0,Physical Inspection,6.0,True,400000.0,236227.0563175324,state+category,-0.42332153462379724,1,299998.0,True,1,0.0,6.0,0.0006666666666666666,0.0,0,1.0986122886681098,,0.0,0,1,26.3,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4923,Normal/Others,"WS/MP761/2024-2025/144941-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Laying of CC road near Peddamma Temple,01-Oct-2024,400000,07-Oct-2024,WS/MP761/2024-2025/144941,"Construction of roads, link roads, pathways or any other road with or without drainage system",400000.0,2024-10-01,2024-10-07,400000.0,Physical Inspection,6.0,True,493330.5,286379.82801138854,state+category,-0.325897604758281,1,400000.0,True,1,0.0,6.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,23.7,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4924,Normal/Others,WS/MP761/2024-2025/144943-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community hall Near Sarva Samaj Bhavan in Armoor town,01-Oct-2024,495000,05-Nov-2024,WS/MP761/2024-2025/144943,Construction of community centers and community halls,495000.0,2024-10-01,2024-11-05,495000.0,Physical Inspection,35.0,True,399551.0,211326.7430146695,state+category,0.451665504509168,1,495000.0,True,1,0.0,35.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,28.8,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4925,Normal/Others,WS/MP761/2024-2025/144944-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Mahila Bhavan,01-Oct-2024,400000,08-Oct-2024,WS/MP761/2024-2025/144944,Construction of community centers and community halls,400000.0,2024-10-01,2024-10-08,400000.0,Physical Inspection,7.0,True,399551.0,211326.7430146695,state+category,0.0021246719350083965,1,400000.0,True,1,0.0,7.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,15.7,0.0,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
4926,Normal/Others,WS/MP499/2024-2025/144946-Construction of bus-sheds or bus-stops,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Construction of Passanger shed for Rampurhat Bus stand at Word No- 07, Rampurhat Municipality.",01-Oct-2024,1051352,12-Nov-2024,WS/MP499/2024-2025/144946,Construction of bus-sheds or bus-stops,1051352.0,2024-10-01,2024-11-12,1051352.0,Physical Inspection,42.0,True,499204.0,1242447.0683825829,category-only,0.4444036402442368,1,1051352.0,True,0,0.0,42.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.9,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
4927,Normal/Others,WS/MP499/2024-2025/144947-Installing community drinking water plants,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Installation of Chilled Drinking water mechine, Rampurhat Jitendralal Vidya bhaban, P.O & P.S - Rampurhat",01-Oct-2024,249900,22-Jan-2025,WS/MP499/2024-2025/144947,Installing community drinking water plants,249900.0,2024-10-01,2025-01-22,249900.0,Physical Inspection,113.0,True,300000.0,465691.0972187165,state+category,-0.1075820437608023,1,249900.0,True,0,0.0,113.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.6,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
4928,Normal/Others,WS/MP499/2024-2025/144948-Installing community drinking water plants,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Installation of Chilled Drinking water Mechine, Gosainpur High School (H.S) P.o - Gosainpur, Nalhati.",01-Oct-2024,250000,06-Feb-2025,WS/MP499/2024-2025/144948,Installing community drinking water plants,250000.0,2024-10-01,2025-02-06,250000.0,Sanction,128.0,True,300000.0,465691.0972187165,state+category,-0.10736730914251727,1,,False,0,563.0,128.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.6,33.3,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 563 days (>1 year, no completion)",33,,0,False
4929,Normal/Others,WS/MP499/2024-2025/144949-Lighting of public spaces,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,"Instalation of High Mast Light, Vill - Panita, Dag - 808, J.L  - 41, Near panita primary Health center, G.P Bautia, Nal - I",01-Oct-2024,305646,24-Feb-2025,WS/MP499/2024-2025/144949,Lighting of public spaces,305646.0,2024-10-01,2025-02-24,305646.0,Physical Inspection,146.0,True,140538.0,508931.88744545815,state+category,0.3244206230203929,1,,False,0,545.0,146.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.3,32.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 545 days (>1 year, no completion)",33,,0,False
