"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5549","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/248333","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","16-Jun-2026","PRATAP KUMAR SETHY","Payment Success","315302"
"5550","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/255358","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","20-Jun-2026","MANDALI GRAM PANCHAYAT","Payment Success","200000"
"5551","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2025-2026/238413","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","16-Jul-2026","MK Traders","Payment Success","79800"
"5552","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2026-2027/263118","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","17-Jul-2026","MK Traders","Payment Success","79800"
"5553","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2026-2027/275510","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","17-Jul-2026","MK Traders","Payment Success","79800"
"5554","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2025-2026/238414","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Jul-2026","MK Traders","Payment Success","79800"
"5555","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/255362","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","15-Jun-2026","AJABPURA GRAM PANCHAYAT","Payment Success","200000"
"5556","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/185035","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","02-Jul-2026","SUJANPURA GRAM PANCHAYAT","Payment Success","105389"
"5557","Tamil Nadu","Street lights","WS/MP18175/2025-2026/266702","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","19-Jun-2026","SANJAI TRADERS","Payment Success","566070"
"5558","Tamil Nadu","Street lights","WS/MP18175/2025-2026/266703","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","19-Jun-2026","SANJAI TRADERS","Payment Success","566070"
"5559","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245506","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"5560","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245507","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"5561","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245508","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"5562","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18414/2026-2027/247595","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","ANIL BALUNI","GARHWAL","19-Jun-2026","DALBEER SINGH","Payment Success","997800"
"5563","Uttarakhand","Purchase of ambulance to transport sick and injured animals","WS/MP18415/2025-2026/199861","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","18-Jun-2026","Chief Veternary Officer Haridwar","Payment Success","1112500"
"5564","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18176/2025-2026/206488","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","22-Jun-2026","G R Construction","Payment Success","2989060"
"5565","Kerala","Construction of culverts and bridges","WS/MP343/2025-2026/244494","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","25-Jun-2026","REJI S","Payment Success","594367"
"5566","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2025-2026/235059","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","13-Jul-2026","GRAM PANCHAYAT KHEGAM","Payment Success","500000"
"5567","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228773","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","Govind Chandra Mohanta","Payment Success","380228"
"5568","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"5569","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"5570","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"5571","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"5572","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228776","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Jun-2026","Ratha Kishore Sahoo","Payment Success","234007"
"5573","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228775","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Jun-2026","Ratha Kishore Sahoo","Payment Success","281157"
"5574","Gujarat","Providing garbage collection and disposal systems","WS/	 MP575/2025-2026/192010","SURAT(DISTRICT COLLECTOR SURAT_IDA)","C R Patil","NAVSARI","18-Jun-2026","ANANTA TRACTORS","Payment Success","908000"
"5575","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Bir Singh","Payment Success","10000"
"5576","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18141/2025-2026/242897","Anugola(DISTRICT COLLECTORANGUL_IDA)","RUDRA NARAYAN PANY","DHENKANAL","18-Jun-2026","Kumudini Behera","Payment Success","622128"
"5577","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Prem Singh Panwar","Payment Success","9600"
"5578","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/236227","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","22-Jun-2026","S S Enterprise","Payment Success","340430"
"5579","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/251006","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","17-Jun-2026","CHITTARANJAN PATRA","Payment Success","682254"
"5580","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/251006","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","11-Aug-2026","CHITTARANJAN PATRA","Payment Success","117746"
"5581","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","RAJ KUMAR","Payment Success","70528"
"5582","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","RAJ KUMAR","Payment Success","17800"
"5583","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","RAJ KUMAR","Payment Success","43100"
"5584","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","41381"
"5585","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","47840"
"5586","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","55960"
"5587","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","47840"
"5588","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHREE SHYAM TRADING COMPANY","Payment Success","126776"
"5589","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHREE SHYAM TRADING COMPANY","Payment Success","126776"
"5590","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","40819"
"5591","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","83370"
"5592","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","92550"
"5593","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","105260"
"5594","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2026-2027/288692","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","10-Aug-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","145000"
"5595","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2026-2027/288691","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","10-Aug-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","145000"
"5596","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2026-2027/288694","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","10-Aug-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","145000"
"5597","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2026-2027/288693","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","10-Aug-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","145000"
"5598","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2024-2025/144852","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","25-Jun-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","200000"
"5599","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/232075","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","99946"
"5600","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/208963","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5601","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/219619","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","123827"
"5602","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/219618","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5603","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/232074","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","97532"
"5604","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/208960","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5605","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/208959","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5606","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2025-2026/208957","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","09-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5607","Chhattisgarh","Construction of community centers and community halls","WS/MP429/2024-2025/157869","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","10-Jul-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","125000"
"5608","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP429/2026-2027/277991","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","19-Jun-2026","MUKHYA KARYAPALAN ADHIKARI JANPAD PANCHAYAT PONDI UPRODA","Payment Success","250000"
"5609","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP549/2025-2026/205065","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Giridhari Yadav","BANKA","18-Jun-2026","ROHIT KUMAR","Payment Success","991789"
"5610","Tamil Nadu","Construction of community centers and community halls","WS/MP756/2026-2027/242952","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","20-Jun-2026","CHANDIRA RAMESH","Payment Success","1200000"
"5611","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/206760","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","18-Jun-2026","PRAMOD OJHA","Payment Success","300000"
"5612","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/206761","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","04-Jul-2026","PRAMOD OJHA","Payment Success","200000"
"5613","Haryana","Construction of buildings for sports facilities","WS/MP18065/2025-2026/135808","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","18-Jun-2026","Rvinder","Payment Success","438267"
"5614","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP746/2026-2027/232972","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","16-Jun-2026","M SURESHKUMAR","Payment Success","899406"
"5615","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18393/2026-2027/186539","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","18-Jun-2026","JIGIRI MOUNIKA","Payment Success","1196788"
"5616","Tamil Nadu","Construction of community centers and community halls","WS/MP755/2026-2027/179976","CHENGALPATTU(District Collector Chengalpattu_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","10-Jul-2026","M S Sri L C R AND SONS","Payment Success","4997593"
"5617","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Rukmani Devi","Payment Success","9600"
"5618","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Sanjay Chhetri","Payment Success","10000"
"5619","Assam","Construction of community centers and community halls","WS/MP18020/2026-2027/255383","BONGAIGAON(Deputy Commissioner Bongaigaon_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","18-Jun-2026","Const of Community Hall at Bongaigaon District Ex servicemen Asso","Payment Success","300000"
"5620","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18320/2026-2027/266764","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","19-Jun-2026","VADHANA GRAM PANCHAYT","Payment Success","500000"
"5621","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2025-2026/188498","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","19-Jun-2026","TAKARWADA GRAM PANCHAYAT","Payment Success","200000"
"5622","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","BB Bricks","Payment Success","36000"
"5623","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","BB Bricks","Payment Success","36000"
"5624","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","BB Bricks","Payment Success","36000"
"5625","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Gurmail Singh","Payment Success","42250"
"5626","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","27-Jul-2026","Gurmail Singh","Payment Success","25000"
"5627","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/192796","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","27-Jul-2026","Gurmail Singh","Payment Success","30000"
"5628","Maharashtra","Construction of community centers and community halls","WS/MP18128/2026-2027/231489","PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA)","DR. HEMANT VISHNU SAVARA","PALGHAR(ST)","19-Jun-2026","UMESH ANANTA NAYKAR","Payment Success","494553"
"5629","Maharashtra","Construction of community centers and community halls","WS/MP18128/2026-2027/231485","PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA)","DR. HEMANT VISHNU SAVARA","PALGHAR(ST)","19-Jun-2026","UMESH ANANTA NAYKAR","Payment Success","483185"
"5630","Maharashtra","Construction of community centers and community halls","WS/MP18128/2026-2027/231487","PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA)","DR. HEMANT VISHNU SAVARA","PALGHAR(ST)","22-Jun-2026","UMESH ANANTA NAYKAR","Payment Success","496216"
"5631","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP826/2024-2025/135689","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","18-Jun-2026","B P AND SONS","Payment Success","858881"
"5632","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18238/2025-2026/220345","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","19-Jun-2026","MATRIBHOOMI CONSTRUCTION PRO ROHIT SINGH","Payment Success","520589"
"5633","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259118","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","13-Jul-2026","RAM MILAN","Payment Success","796671"
"5634","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259112","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","714505"
"5635","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259114","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","600215"
"5636","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259113","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","423359"
"5637","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259110","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","531696"
"5638","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259117","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","924623"
"5639","Gujarat","Construction of footpaths and pedestrian ways","WS/MP18055/2025-2026/183171","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","06-Jul-2026","SARPANCH GRAM PANCHAYAT RAMPURA","Payment Success","200000"
"5640","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/216810","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","30-May-2026","shree Kanha Ji","Payment Success","502687"
"5641","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/216811","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","30-May-2026","shree Kanha Ji","Payment Success","507328"
"5642","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/216810","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","28-Jul-2026","shree Kanha Ji","Payment Success","195261"
"5643","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/216811","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","29-Jul-2026","shree Kanha Ji","Payment Success","189841"
"5644","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP743/2026-2027/170872","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","30-May-2026","Mani S","Payment Success","999869"
"5645","Telangana","Street lights","WS/MP761/2026-2027/224224","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Arvind Dharmapuri","NIZAMABAD","18-Jun-2026","PASULA GANGA REDDY","Payment Success","135000"
"5646","West Bengal","Providing drains and gutters for public drainage","WS/MP18273/2025-2026/160311","Malda(DISTRICT MAGISTRATE MALDA_IDA)","ISHA KHAN CHOUDHURY","MALDAHA DAKSHIN","17-Jun-2026","BISWAS CONSTRUCTION","Payment Success","1463573"
"5647","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","24-Jun-2026","sandeep kumar","Payment Success","11115"
"5648","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275095","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","21-Jul-2026","GRAM PANCHAYAT BANKI","Payment Success","250000"
