"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10873","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP343/2024-2025/163653","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","10-Mar-2026","RADHAKRISHNAN K","Payment Success","858206"
"10874","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18017/2025-2026/230964","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Sribharat MathuKumli","VISAKHAPATNAM","04-Mar-2026","SHAIK SARDAR","Payment Success","1364196"
"10875","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18017/2025-2026/230964","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Sribharat MathuKumli","VISAKHAPATNAM","23-Jul-2026","SHAIK SARDAR","Payment Success","1834161"
"10876","Telangana","Installing hand pumps","WS/MP18189/2025-2026/184789","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","13-Jul-2026","Sri Ragavendra Bore wells","Payment Success","71905"
"10877","Maharashtra","Construction of community centers and community halls","WS/MP18113/2025-2026/192630","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","16-Mar-2026","shri jagdamba construction","Payment Success","1968229"
"10878","Maharashtra","Construction of community centers and community halls","WS/MP18113/2025-2026/192629","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","16-Mar-2026","shri jagdamba construction","Payment Success","1972562"
"10879","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18113/2025-2026/185620","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","05-Mar-2026","shri jagdamba construction","Payment Success","1472317"
"10880","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18113/2025-2026/185622","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","02-Mar-2026","shri jagdamba construction","Payment Success","1500000"
"10881","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18113/2025-2026/185623","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","24-Feb-2026","shri jagdamba construction","Payment Success","1500000"
"10882","Bihar","Lighting of public spaces","WS/MP18044/2025-2026/222611","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","07-Mar-2026","HARSH CHOPRA","Payment Success","290000"
