work_id,Hon'ble Members of Parliament,State,Constituency,work_type,recommended_amount,is_sanctioned,stuck_days,early_warning_score
WS/MP18152/2024-2025/140028,SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),Construction of community centers and community halls,400000.0,True,611.0,30.5
WS/MP18048/2024-2025/148042,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),Construction of buildings for community cultural activities,487000.0,True,620.0,30.5
WS/MP410/2024-2025/146775,Pradan Baruah,Assam,LAKHIMPUR,Construction of community centers and community halls,1000000.0,True,545.0,30.5
WS/MP641/2024-2025/153848,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Purchase of mobile water tankers,166026.0,False,639.0,30.5
WS/MP641/2024-2025/153850,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Purchase of mobile water tankers,166026.0,False,639.0,30.5
WS/MP641/2024-2025/153849,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Purchase of mobile water tankers,166026.0,False,639.0,30.5
WS/MP632/2024-2025/142306,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219745.0,True,529.0,30.4
WS/MP18393/2024-2025/154072,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of public libraries and reading rooms,300000.0,False,639.0,30.4
WS/MP353/2024-2025/153140,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,207949.0,False,642.0,30.4
WS/MP18393/2024-2025/154059,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of public libraries and reading rooms,500000.0,False,639.0,30.4
WS/MP18393/2024-2025/154070,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of public libraries and reading rooms,500000.0,False,639.0,30.4
WS/MP18065/2025-2026/135808,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of buildings for sports facilities,500000.0,True,384.0,30.4
WS/MP632/2024-2025/142370,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219745.0,True,529.0,30.4
,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,Unknown,100000.0,False,637.0,30.3
WS/MP18076/2025-2026/145723,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Construction of bus-sheds or bus-stops,500000.0,True,404.0,30.3
WS/MP18076/2025-2026/145721,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Construction of bus-sheds or bus-stops,500000.0,True,404.0,30.3
WS/MP18076/2025-2026/145696,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Construction of bus-sheds or bus-stops,500000.0,True,404.0,30.3
WS/MP18076/2025-2026/145695,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Construction of bus-sheds or bus-stops,500000.0,True,404.0,30.3
WS/MP18076/2025-2026/145722,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Construction of bus-sheds or bus-stops,500000.0,True,404.0,30.3
WS/MP353/2024-2025/155227,Adv Dean Kuriakose,Kerala,IDUKKI,"Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,False,635.0,30.3
,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,Unknown,100000.0,False,637.0,30.2
WS/MP18048/2024-2025/145574,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),Construction of buildings for community cultural activities,500000.0,True,604.0,30.2
WS/MP18065/2025-2026/134736,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of buildings for multi-gym,1000000.0,True,356.0,30.2
WS/MP18065/2024-2025/135793,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of community centers and community halls,500000.0,True,577.0,30.1
WS/MP18065/2024-2025/135798,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of community centers and community halls,500000.0,True,577.0,30.1
WS/MP644/2024-2025/151169,Janardan Mishra,Madhya Pradesh,REWA,Street lights,1395600.0,False,655.0,30.1
,Bansuri Swaraj,Delhi,NEW DELHI,Unknown,565600.0,False,645.0,30.1
WS/MP632/2024-2025/142330,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219831.0,True,529.0,30.1
WS/MP632/2024-2025/142381,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,221132.0,True,524.0,30.1
WS/MP632/2024-2025/142379,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,222303.0,True,524.0,30.1
WS/MP632/2024-2025/142378,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,222303.0,True,524.0,30.1
WS/MP632/2024-2025/142079,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,218793.0,True,544.0,30.1
WS/MP632/2024-2025/142383,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,221132.0,True,524.0,30.1
WS/MP632/2024-2025/142409,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219831.0,True,529.0,30.1
WS/MP632/2024-2025/142382,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,221132.0,True,524.0,30.1
WS/MP644/2024-2025/151160,Janardan Mishra,Madhya Pradesh,REWA,Street lights,1395600.0,False,655.0,30.1
WS/MP758/2025-2026/149078,Smt S Jothimani,Tamil Nadu,KARUR,Purchase of hospital equipment,137500.0,False,670.0,30.0
WS/MP353/2024-2025/144141,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,207949.0,True,551.0,30.0
WS/MP18393/2024-2025/154074,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of public libraries and reading rooms,100000.0,False,639.0,30.0
WS/MP18173/2024-2025/137448,THARANIVENTHAN M S,Tamil Nadu,ARANI,Construction of boundary walls of existing public and community buildings,499950.0,True,671.0,30.0
WS/MP423/2025-2026/138923,Shri Abhishek Banerjee,West Bengal,DIAMOND HARBOUR,Construction of rooms and halls in school and colleges,1498000.0,True,478.0,30.0
WS/MP740/2025-2026/140343,Andimuthu Raja,Tamil Nadu,NILGIRIS(SC),Construction of water tanks,899731.0,True,320.0,30.0
WS/MP353/2024-2025/144150,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,207949.0,True,551.0,30.0
WS/MP18393/2024-2025/154073,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of public libraries and reading rooms,100000.0,False,639.0,30.0
WS/MP353/2024-2025/144154,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,207949.0,True,551.0,30.0
WS/MP353/2024-2025/144155,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,215496.0,True,551.0,29.9
WS/MP18074/2024-2025/136932,KALI CHARAN MUNDA,Jharkhand,KHUNTI(ST),Construction of rooms and halls in school and colleges,1200000.0,True,678.0,29.9
WS/MP18065/2025-2026/135231,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of boundary walls of existing public and community buildings,500000.0,True,160.0,29.9
WS/MP353/2024-2025/144140,Adv Dean Kuriakose,Kerala,IDUKKI,Lighting of public spaces,215496.0,True,551.0,29.9
WS/MP499/2025-2026/144953,Smt Satabdi Roy (Banerjee),West Bengal,BIRBHUM,"Construction of roads, link roads, pathways or any other road with or without drainage system",474443.0,True,467.0,29.8
WS/MP632/2025-2026/142076,Anto Antony,Kerala,PATHANAMTHITTA,"Purchase of ambulances (Four, three and two wheelers)",900000.0,True,166.0,29.8
WS/MP632/2025-2026/142400,Anto Antony,Kerala,PATHANAMTHITTA,"Purchase of ambulances (Four, three and two wheelers)",872863.0,True,311.0,29.8
WS/MP664/2025-2026/146325,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,Construction of community centers and community halls,1193715.0,True,340.0,29.8
WS/MP632/2024-2025/142326,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219745.0,True,521.0,29.8
WS/MP632/2025-2026/142391,Anto Antony,Kerala,PATHANAMTHITTA,"Purchase of ambulances (Four, three and two wheelers)",872863.0,True,311.0,29.8
WS/MP632/2024-2025/142369,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219745.0,True,521.0,29.8
WS/MP632/2024-2025/142309,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,219746.0,True,521.0,29.8
WS/MP18328/2024-2025/144162,Kangana Ranaut,Himachal Pradesh,MANDI,Construction of community centers and community halls,300000.0,True,568.0,29.8
WS/MP632/2025-2026/142059,Anto Antony,Kerala,PATHANAMTHITTA,"Purchase of ambulances (Four, three and two wheelers)",900000.0,True,291.0,29.8
,Bansuri Swaraj,Delhi,NEW DELHI,Unknown,350000.0,False,645.0,29.8
WS/MP18205/2025-2026/148492,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
WS/MP18205/2025-2026/148491,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Unknown,1100000.0,False,748.0,29.7
WS/MP664/2025-2026/146362,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,Construction of community centers and community halls,1093255.0,True,340.0,29.7
WS/MP18205/2025-2026/148489,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
WS/MP18048/2024-2025/149434,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),Construction of boundary walls of existing public and community buildings,1320804.0,False,666.0,29.7
WS/MP18048/2024-2025/149435,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),Construction of boundary walls of existing public and community buildings,1320804.0,False,666.0,29.7
WS/MP664/2025-2026/146329,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,Construction of community centers and community halls,1246813.0,True,340.0,29.7
WS/MP18205/2025-2026/148494,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
WS/MP18205/2025-2026/148490,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
WS/MP18205/2025-2026/148488,SANATAN PANDEY,Uttar Pradesh,BALLIA,Installation of fixed garden gym equipment,690000.0,True,507.0,29.7
WS/MP18065/2026-2027/152353,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Construction of veterinary hospitals and dispensaries,2100000.0,False,647.0,29.6
WS/MP632/2024-2025/142201,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,220500.0,True,524.0,29.6
WS/MP18313/2024-2025/141606,RAJ KUMAR ROAT,Rajasthan,BANSWARA(ST),Development of playfields and sports grounds,1200000.0,True,618.0,29.6
WS/MP664/2025-2026/146327,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,Construction of community centers and community halls,1094240.0,True,340.0,29.6
WS/MP18380/2024-2025/151776,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151944,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151761,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151939,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151937,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151934,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151819,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151919,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151967,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151946,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151945,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151970,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151933,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151920,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151922,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151943,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151918,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151917,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18307/2025-2026/143612,Piyush Vedprakash Goyal,Maharashtra,MUMBAI NORTH,Tree plantation for community,1500000.0,True,151.0,29.5
WS/MP18048/2024-2025/148031,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),Purchase of mobile water tankers,1120000.0,True,620.0,29.5
WS/MP18380/2024-2025/151803,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151816,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18307/2025-2026/143611,Piyush Vedprakash Goyal,Maharashtra,MUMBAI NORTH,Tree plantation for community,1500000.0,True,205.0,29.5
WS/MP18152/2024-2025/137615,SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),Construction of community centers and community halls,500000.0,True,621.0,29.5
WS/MP18307/2025-2026/143600,Piyush Vedprakash Goyal,Maharashtra,MUMBAI NORTH,Tree plantation for community,1500000.0,True,151.0,29.5
WS/MP18380/2024-2025/151938,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151931,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/149489,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,666.0,29.5
WS/MP18380/2024-2025/151921,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151969,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151973,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151818,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP18380/2024-2025/151782,VINOD KUMAR BIND,Uttar Pradesh,BHADOHI,Lighting of public spaces,119126.0,False,650.0,29.5
WS/MP529/2024-2025/148903,Maddila Gurumoorthy,Andhra Pradesh,TIRUPATI(SC),Providing drains and gutters for public drainage,253000.0,True,541.0,29.4
WS/MP18065/2024-2025/152351,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Development of playfields and sports grounds,1100000.0,False,647.0,29.4
WS/MP345/2024-2025/138116,Shri NK Premachandran,Kerala,KOLLAM,Construction of buildings for crèches and anganwadies,1250000.0,True,526.0,29.4
WS/MP632/2024-2025/142329,Anto Antony,Kerala,PATHANAMTHITTA,Lighting of public spaces,217488.0,True,515.0,29.3
WS/MP18074/2024-2025/137039,KALI CHARAN MUNDA,Jharkhand,KHUNTI(ST),Construction of rooms and halls in school and colleges,1000000.0,True,678.0,29.3
